Model,CV_R2_Mean,CV_R2_STD,CV_RMSE_Mean,CV_RMSE_STD,Test_R2,Test_RMSE
RidgeCV,-1.1589111298052958e+20,2.3174013573602263e+20,15854304000502.176,31434494698239.656,-1040962.2074933832,875468.0873094639
ElasticNetCV,-735703314506058.2,1469808193256870.2,40332226906.728806,78981446441.95045,-1951857.992247156,1198800.3187758108
LassoCV,-158009553.81772152,313074333.91867244,19241981.646910537,36214196.599122845,-2898854.962277774,1460952.0031378188
LinearRegression,-2.0721795504996462e+21,4.1440550160320273e+21,66873785144088.54,133010096922930.0,-4068946.5299437335,1730866.9071562677
